"filename", "language", "mcfunction", "JSON", "comment", "blank", "total"
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\operator\leave_op.mcfunction", "mcfunction", 6, 0, 5, 4, 15
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\operator\players_are_op\becomeop.mcfunction", "mcfunction", 7, 0, 5, 4, 16
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\operator\players_are_op\cant_bybass_map.mcfunction", "mcfunction", 3, 0, 1, 1, 5
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\operator\triggers\enable_op_triggers.mcfunction", "mcfunction", 5, 0, 3, 1, 9
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\operator\triggers\reset_op_triggers.mcfunction", "mcfunction", 5, 0, 3, 1, 9
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_1.mcfunction", "mcfunction", -31, 0, -3, -10, -44
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_1_recommanded_options.mcfunction", "mcfunction", -29, 0, -2, -8, -39
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\display_page_2_predefined.mcfunction", "mcfunction", -102, 0, -6, -19, -127
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\1-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\1-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\1-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\1-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\1-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\2-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\2-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\2-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\2-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\2-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\3-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\3-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\3-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\3-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\3-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\4-1.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\4-2.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\4-3.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\4-4.mcfunction", "mcfunction", -2, 0, -2, -2, -6
"c:\Users\FlowUP\AppData\Roaming\.minecraft\saves\CTF-1.21.10 v1.30\datapacks\Magic_FR\data\lobby\function\option_panel\display\display_page_2_predfined\round1\4-5.mcfunction", "mcfunction", -2, 0, -2, -2, -6
